"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321550","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-07-26","","IA","","","7EC 420816 400:42","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
"321551","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2018-04-24","","TX1","","","7AT 511550 2210:49","","HOUSTON","KROGER","TX","24000162865"
"321552","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-09-19","","TX1","","","7AT 426316 518:37","","HOUSTON","KROGER","TX","24000162865"
"321553","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-09-19","","TX1","","","7AT 426316 518:38","","HOUSTON","KROGER","TX","24000162865"
"321558","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-12-01","","CA2","","","J4EI051G 15:47 5988 ","","BONITA","VONS MARKET","CA","21130331215"
"321559","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-12-01","","CA2","","","J4EI051G 15:47 5988","","BONITA","VONS MARKET","CA","21130331215"
"321560","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-12-01","","CA2","","","J4EI051G 15:47 5988 ","","BONITA","VONS MARKET","CA","21130331215"
"321561","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-09-22","","NC1","","","14C02 42652 02:08","","ROANOKE RAPIDS","FOOD LION","NC","725439103329"
"321562","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-09-22","","NC1","","","14C02 42652 02:08","","ROANOKE RAPIDS","FOOD LION","NC","725439103329"
"321563","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2016-12-01","","NC1","","","G3AU161E 14:52 3397 GR BN","","ROANOKE RAPIDS","FOOD LION","NC","37100033188"
"321567","BEANS, SNAP, CANNED, DRAINED, STORE BRAND","2017-08-21","","TX1","","","7AT 423416 512:40","","HOUSTON","KROGER","TX","11110802354"
